Date,nom_ar,nom_fr,unite,valeur
2025-06-19 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-19 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-19 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-06-18 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-06-18 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-17 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-17 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-17 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-06-16 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-16 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-16 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-06-14 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-14 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-14 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-06-13 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-06-13 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-13 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-12 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-12 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-06-12 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-11 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-11 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-06-11 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-01 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-01 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-01 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-05-28 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-05-28 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-28 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-25 00:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-05-25 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-25 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-24 18:00:00,Pluie quotidienne,Pluie quotidienne,mm,4.4
2025-05-24 18:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-05-24 18:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-24 17:00:00,Pluie quotidienne,Pluie quotidienne,mm,4.4
2025-05-24 17:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,16.8
2025-05-24 17:00:00,Pluie Totale,Pluie Totale,mm,2314.4
2025-05-24 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-24 00:00:00,Pluie Totale,Pluie Totale,mm,2310.0
2025-05-24 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-20 00:00:00,Pluie Totale,Pluie Totale,mm,2305.6
2025-05-20 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-20 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
